Dataset,Resolution,Latest+EM stress mIoU,Latest+EM stress mDice,Latest+Res stress mIoU,Latest+Res stress mDice
jrc_cos7-1a,"[2.0, 2.0, 2.0]",0.1803,0.2446,0.1484,0.2240
jrc_mus-kidney,"[8.0, 8.0, 8.0]",0.2802,0.3386,0.2707,0.3256
