Model,N patches,Mean IoU,Mean Dice,Mean HD95,Mean Precision,Mean Recall,Mean F1,Fine IoU,Medium IoU,Coarse IoU,Fine-Coarse Gap
Latest+EM stress,319,0.2821,0.3511,26.5396,0.4493,0.3127,0.3511,0.1803,0.2803,0.0000,0.1803
Latest+Res stress,319,0.2675,0.3343,28.0350,0.4209,0.3054,0.3343,0.1484,0.2708,0.0000,0.1484
